log_file,source,model,search_tool_invoked,instructions_follow,instructions_avoid,answer_relevant,answer_clear,answer_citations,completeness,factual,tool_call_search,tool_call
faq_agent_v2_20251228_080556_796710.json,ai-generated,gpt-4o-mini,True,,,,,,,,,
faq_agent_v2_20251228_080428_4900d0.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080607_63c74e.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080548_a29fd7.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080507_05df25.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080458_155a60.json,ai-generated,gpt-4o-mini,,False,True,True,True,False,True,True,True,
faq_agent_v2_20251228_080307_709ffb.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080315_ffcd7f.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080421_0e8f6f.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080340_e191f6.json,ai-generated,gpt-4o-mini,,True,True,True,True,False,True,True,True,
faq_agent_v2_20251228_080450_91c7f6.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080435_2a59ca.json,ai-generated,gpt-4o-mini,,,,,,,,,,True
faq_agent_v2_20251228_080401_a2b29d.json,ai-generated,gpt-4o-mini,,False,True,True,True,False,True,True,True,
faq_agent_v2_20251228_080528_e9283e.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,False,
faq_agent_v2_20251228_080442_2b3ab3.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,False,
faq_agent_v2_20251228_080411_5cb640.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,False,
faq_agent_v2_20251228_080353_53c92f.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080519_107a78.json,ai-generated,gpt-4o-mini,,True,True,True,True,True,True,True,True,
faq_agent_v2_20251228_080326_cf3b45.json,ai-generated,gpt-4o-mini,,True,True,True,True,False,True,True,True,
